"","vsly","heat1","heat2","vsl55"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4",NA,NA,NA,NA
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8",NA,NA,NA,NA
"9",NA,NA,NA,NA
"10",NA,NA,NA,NA
"11",NA,NA,NA,NA
"12",NA,NA,NA,NA
"13",NA,NA,NA,NA
"14",NA,NA,NA,NA
"15",NA,NA,NA,NA
"16",NA,NA,NA,NA
"17",NA,NA,NA,NA
"18",NA,NA,NA,NA
"19",NA,NA,NA,NA
"20",3.86428138982292,5.80307951522267,1.77097164355899,0.843375054395505
"21",4.0845985628857,5.80307951522267,1.77097164355899,0.908121953014316
"22",4.2929453908141,5.80307951522267,1.77097164355899,0.972572795774496
"23",4.484651230116,5.80307951522267,1.77097164355899,1.03562519096847
"24",4.66544063064208,5.80307951522267,1.77097164355899,1.09853994058158
"25",4.8359080798853,5.80307951522267,1.77097164355899,1.16144675407701
"26",5.00588255810602,5.80307951522267,1.77097164355899,1.22674939662922
"27",5.18138723184811,5.80307951522267,1.77097164355899,1.29609612796651
"28",5.35933297338486,5.80307951522267,1.77097164355899,1.36894385471199
"29",5.53838042834005,5.80307951522267,1.77097164355899,1.44515936333629
"30",5.71960107396623,5.80307951522267,1.77097164355899,1.52523940912596
"31",5.90721375201833,5.80307951522267,1.77097164355899,1.61058192639836
"32",6.10146844777367,5.80307951522267,1.77097164355899,1.70160214039816
"33",6.30175905749059,5.80307951522267,1.77097164355899,1.79850712634165
"34",6.50990990892546,5.80307951522267,1.77097164355899,1.9022317481179
"35",6.72740326052128,5.80307951522267,1.77097164355899,2.01369738547972
"36",6.97520845667047,5.80307951522267,1.77097164355899,2.13988904126547
"37",7.25668125154415,5.80307951522267,1.77097164355899,2.28294160758794
"38",7.57028799014726,5.80307951522267,1.77097164355899,2.44361909972035
"39",7.91057252574111,5.80307951522267,1.77097164355899,2.62145323485649
"40",8.26987705808297,5.80307951522267,1.77097164355899,2.81515953020505
"41",8.6288788676205,5.80307951522267,1.77097164355899,3.01921716267901
"42",8.98196552435433,5.80307951522267,1.77097164355899,3.2324153768836
"43",9.32787473485489,5.80307951522267,1.77097164355899,3.4550125207911
"44",9.66671794707351,5.80307951522267,1.77097164355899,3.6878183612022
"45",10.0281706426926,5.80307951522267,13.8684350502794,3.94336460879636
"46",10.5299601582584,5.80307951522267,13.8684350502794,4.27142627546709
"47",11.1912259587585,5.80307951522267,13.8684350502794,4.68667883750486
"48",11.9969528244408,5.80307951522267,13.8684350502794,5.19074051490544
"49",12.9275448201239,5.80307951522267,13.8684350502794,5.78314624344098
"50",13.9435823713901,5.80307951522267,13.8684350502794,6.4538779608296
"51",14.9272523852085,5.80307951522267,13.8684350502794,7.15366945962254
"52",15.8502555951408,5.80307951522267,13.8684350502794,7.87070438910735
"53",16.7120068554005,5.80307951522267,13.8684350502794,8.60577259695538
"54",17.5265485559378,5.80307951522267,13.8684350502794,9.3676349882504
"55",18.3537838073784,5.80307951522267,13.8684350502794,10.1919188125132
"56",19.4259679843446,5.80307951522267,13.8684350502794,11.2190931618183
"57",20.7706962598461,5.80307951522267,13.8684350502794,12.4875785740166
"58",22.3704398510661,5.80307951522267,13.8684350502794,14.0119664035962
"59",24.2545582709168,5.80307951522267,13.8684350502794,15.8376260919826
"60",26.3054421062109,5.80307951522267,13.8684350502794,17.9145948236918
"61",28.0901754070298,5.80307951522267,13.8684350502794,19.9577143988616
"62",29.5232258629068,5.80307951522267,13.8684350502794,21.8935238815716
"63",30.6218401061924,5.80307951522267,13.8684350502794,23.7188262943958
"64",31.3069817547608,5.80307951522267,13.8684350502794,25.35462140797
"65",31.7007064996034,5.80307951522267,13.8684350502794,26.880230919726
"66",32.2338293880193,5.80307951522267,13.8684350502794,28.6650507186506
"67",32.7747369931366,5.80307951522267,13.8684350502794,30.6173748578321
"68",34.792927759404,5.80307951522267,13.8684350502794,34.1935887969541
"69",35.9526426725767,5.80307951522267,13.8684350502794,37.2172461164706
"70",37.5266249521643,5.80307951522267,13.8684350502794,40.9546962950482
"71",39.0980440439509,5.80307951522267,13.8684350502794,45.0102597694726
"72",40.5770578308262,5.80307951522267,13.8684350502794,49.3040373822751
"73",42.0424623006077,5.80307951522267,13.8684350502794,53.9561924719257
"74",43.3016695820961,5.80307951522267,13.8684350502794,58.7437444756781
"75",NA,NA,NA,NA
"76",NA,NA,NA,NA
"77",NA,NA,NA,NA
"78",NA,NA,NA,NA
"79",NA,NA,NA,NA
"80",NA,NA,NA,NA
"81",NA,NA,NA,NA
"82",NA,NA,NA,NA
"83",NA,NA,NA,NA
"84",NA,NA,NA,NA
"85",NA,NA,NA,NA
"86",NA,NA,NA,NA
"87",NA,NA,NA,NA
"88",NA,NA,NA,NA
"89",NA,NA,NA,NA
"90",NA,NA,NA,NA
"91",NA,NA,NA,NA
"92",NA,NA,NA,NA
"93",NA,NA,NA,NA
"94",NA,NA,NA,NA
"95",NA,NA,NA,NA
"96",NA,NA,NA,NA
"97",NA,NA,NA,NA
"98",NA,NA,NA,NA
"99",NA,NA,NA,NA
"100",NA,NA,NA,NA
