"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84"
"1",75.6950717619251,74.6950717619251,73.6950717619251,72.6950717619251,71.6950717619251,70.6950717619251,69.6950717619251,68.6950717619251,67.6950717619251,66.6950717619251,65.6950717619251,64.6950717619251,63.6950717619251,62.6950717619251,61.6950717619251,60.7568285905156,59.8176462367524,58.8775237605129,57.9364602207336,56.994454675409,56.0515061815906,55.107613795386,54.162776571958,53.2169935655235,52.2702638293528,51.3225864157686,50.3739603761447,49.4243847609057,48.4738586195252,47.5223810005257,46.5699509514772,45.6165675189962,44.6622297487449,43.7069366854303,42.7506873728032,41.8144644291679,40.8768447935233,39.9378263822326,38.9974071085505,38.0555848826188,37.1294070281923,36.2014325271865,35.2716578943759,34.3400796377738,33.4066942586197,32.505456943693,31.6015552341267,30.6949812529735,29.785727099999,28.8737848516126,28.0031098868098,27.1285351883542,26.2500432894263,25.3676166449729,24.4812376313569,23.6409803675942,22.7952403338638,21.9439817544959,21.0871686203803,20.2247646874436,19.4389236147291,18.6447613138694,17.8421896718345,17.0311196425707,16.2114612371203,15.4913699361826,14.758845467358,14.0136731583357,13.2556346302512,12.4845077336888,11.8692290580856,11.2349900172041,10.5812063303504,9.90727571169598,9.21257731543346,8.6847192155371,8.12980854199746,7.54645885830656,6.93321267348984,6.2885378005854,6.02780753482744,5.7364262655472,5.41079071326274,5.04687400312715
"3",74.4217724120527,73.4217724120527,72.4217724120527,71.4217724120527,70.4217724120527,69.4217724120527,68.4217724120527,67.4217724120527,66.4217724120527,65.4217724120527,64.4217724120527,63.4217724120527,62.4217724120527,61.4217724120527,60.4217724120527,59.4537983746708,58.4853112722281,57.5163108327796,56.546796784236,55.5767688543639,54.6048095085464,53.6323597712136,52.6594193949437,51.6859881321902,50.7120657352818,49.7369353029721,48.7613266595711,47.7852395705608,46.8086738013078,45.8316291170638,44.8539375359724,43.8757700662037,42.8971264761204,41.9180065339721,40.9384100078958,39.9992591613577,39.0587123999814,38.1167676489369,37.1734228303104,36.2286758630996,35.3166536438743,34.4024166682729,33.4859595579771,32.5672769216078,31.6463633546937,30.7690850386046,29.8884047179628,29.0043092001078,28.1167852412192,27.2258195461182,26.3832188313043,25.5357468306146,24.6833753819249,23.8260761602986,22.9638206770456,22.1752161632161,21.3793520806528,20.5761616007524,19.7655772797148,18.9475310528805,18.2605424314599,17.5622048245245,16.8523307479325,16.130729620322,15.3972077119455,14.7422172057693,14.0725501460763,13.3878776712705,12.6878635508633,11.9721640203565,11.5143314475669,11.0357656215693,10.5355276231731,10.0126360136068,9.46606490898953,8.98425892716969,8.47607778522758,7.9400776466445,7.37473563599231,6.77844551216294,6.60129500026667,6.40263982217966,6.17986948209796,5.93005659074517
"4",80.8343409309106,79.8343409309106,78.8343409309106,77.8343409309106,76.8343409309106,75.8343409309106,74.8343409309106,73.8343409309106,72.8343409309106,71.8343409309106,70.8343409309106,69.8343409309106,68.8343409309106,67.8343409309106,66.8343409309106,65.8343409309106,64.8343409309106,63.8343409309106,62.8343409309106,61.8343409309106,60.866271076695,59.8977013285514,58.9286314283435,57.9590611178018,56.9889901385233,56.0181483579423,55.0468098495269,54.074974359128,53.1026416324664,52.129811415133,51.1562409284853,50.1821768472229,49.2076189210964,48.2325668997291,47.2570205326176,46.2809030097606,45.3042921823287,44.3271878010184,43.3495896164003,42.3714973789191,41.4139112902093,40.4553666568662,39.4958625193856,38.5353979173029,37.5739718891921,36.6304426010213,35.6854952628586,34.7391277434868,33.7913379084857,32.8421236202274,31.9411108576936,31.0373824131498,30.1309301014414,29.2217457127435,28.3098210124863,27.4375334264459,26.5613107412316,25.6811352046642,24.7969889844801,23.9088541679704,23.1118010459882,22.3079822529462,21.4973403594161,20.6798174484887,19.855355111635,19.1219597669115,18.3787168716425,17.6254941993932,16.862157748279,16.0885717171264,15.3763192353099,14.6513279667593,13.9133700755712,13.1622136509492,12.3976226343228,11.7950776900957,11.1732157734555,10.5314176020954,9.86904404015291,9.18543546172628,8.71384207125132,8.21511952989684,7.68770719062598,7.1299546277286
"5",73.6119345230894,72.6856201432326,71.7583785217544,70.8302087304849,69.9011098403252,68.9011098403252,67.9011098403252,66.9011098403252,65.9011098403252,64.9011098403252,63.9011098403252,62.9011098403252,61.9011098403252,60.9011098403252,59.9011098403252,58.932671337176,57.9637225702129,56.9942632705812,56.0242931692846,55.0538119971852,54.0816743377589,53.1090446864147,52.135922794159,51.1623084118722,50.1882012903087,49.2132285119344,48.2377695463852,47.2618241512153,46.285392083858,45.3084731016259,44.3538269285544,43.3982251537081,42.4416668205287,41.4841509715001,40.5256766481483,39.5867367895116,38.6463822277721,37.7046108313928,36.7614204656255,35.8168089925053,34.8878953656696,33.9571381044462,33.0245335497353,32.0900780351746,31.1537678871253,30.2614485502121,29.3660449784085,28.4675465112879,27.5659424515766,26.6612220650266,25.8192315086988,24.9722508413003,24.1202504886177,23.263200701164,22.4010715531399,21.6118016120364,20.8151068965966,20.0109175609147,19.1991631020345,18.3797723537686,17.6797360445713,16.9682749216734,16.2452025285061,15.5103293654709,14.7634628402758,14.1068855670852,13.43503521332,12.7475565016964,12.0440858905892,11.3242513817902,10.8459865025067,10.3456868258565,9.82233715646146,9.27487552648435,8.70219104071096,8.348976789877,7.9695100765571,7.56183970035391,7.12386943893195,6.6533472693387,6.42068682170806,6.16119332951929,5.87177210139878,5.54897153102514
"6",80.1219296410892,79.1219296410892,78.1219296410892,77.1219296410892,76.1219296410892,75.1219296410892,74.1219296410892,73.1219296410892,72.1219296410892,71.1219296410892,70.1219296410892,69.1219296410892,68.1219296410892,67.1219296410892,66.1219296410892,65.1219296410892,64.1219296410892,63.1219296410892,62.1219296410892,61.1219296410892,60.1528632178381,59.1833063537459,58.2132588006024,57.2427203100718,56.2716906336925,55.2998127669608,54.3274491981188,53.3545996844339,52.381263983052,51.4074418509977,50.4331308233122,49.4583329196391,48.4830478966803,47.5072755110158,46.531015519104,45.5775931122162,44.6232163285447,43.6678842127575,42.7115958085661,41.7543501587248,40.817303233222,39.8788435211549,38.9389688924637,37.9976772138772,37.054966348908,36.129224798505,35.2016280546143,34.2721723994131,33.3408541076284,32.4076694465214,31.5216604884359,30.6325350740916,29.740282241636,28.8448909906591,27.9463502820581,27.1007965794793,26.2505699003824,25.3956444194302,24.5359941685609,23.6715930361996,22.8735697011293,22.0687372724967,21.2570376520568,20.4384122458444,19.6128019599444,18.8685479081697,18.1145889728919,17.3507986048989,16.5770486048091,15.7932091015536,15.1092669476916,14.4116375639168,13.7000470377915,12.9742159752702,12.2338593910007,11.6316180355278,11.009796047519,10.3677568031905,9.70484298025229,9.0203758849392,8.55418656893508,8.06040895275122,7.53741040715166,6.98346168664624
"7",74.1983676054819,73.1983676054819,72.1983676054819,71.1983676054819,70.1983676054819,69.1983676054819,68.1983676054819,67.1983676054819,66.1983676054819,65.1983676054819,64.1983676054819,63.1983676054819,62.1983676054819,61.1983676054819,60.1983676054819,59.229354850105,58.2598432932409,57.2898326781302,56.3193227478818,55.348313245472,54.3768914278535,53.4049680327117,52.4325428010655,51.4596154737999,50.4861857916662,49.5121989098947,48.537710179241,47.5627193411263,46.5872261368387,45.6112303075328,44.6568871947275,43.701588783511,42.7453341176286,41.7881222398685,40.8299521920606,39.892039766004,38.9527011147382,38.0119340694911,37.0697364581926,36.1261061054698,35.2171505403139,34.3059042398797,33.3923614310926,32.476516326329,31.5583631233795,30.6704070057172,29.7792983148248,28.8850258578992,27.9875784023988,27.0869446759021,26.2920371425845,25.4911108593215,24.6841202543332,23.8710194107874,23.051762064186,22.3056719794321,21.5513638821177,20.7887472527039,20.0177305745996,19.2382213231794,18.5511973422469,17.8529965468394,17.1434371075228,16.4223342367798,15.689500140887,15.0388799803887,14.3737715592569,13.6938522473165,12.9987922299397,12.2882543480588,11.7144638974817,11.1207719244852,10.5064881586156,9.87089838786906,9.21326362829539,8.78263302381322,8.32538992924529,7.83988972244633,7.32438614546051,6.77702502354194,6.43332416981623,6.0563387146481,5.64284531808603,5.18930848620965
"8",76.2854412757524,75.2854412757524,74.2854412757524,73.2854412757524,72.2854412757524,71.2854412757524,70.2854412757524,69.2854412757524,68.2854412757524,67.2854412757524,66.2854412757524,65.2854412757524,64.2854412757524,63.2854412757524,62.2854412757524,61.2854412757524,60.2854412757524,59.2854412757524,58.2854412757524,57.2854412757524,56.3149005746131,55.3438607685017,54.3723216007512,53.4002828145625,52.4277441530047,51.4544416410956,50.4806434997704,49.5063494766425,48.5315593191968,47.5562727747896,46.5805071364542,45.6042442544115,44.6274838752693,43.6502257455066,42.6724696114728,41.7151847962691,40.7569417380071,39.7977394774846,38.8375770545391,37.8764535080472,36.9333160073808,35.9887626097512,35.0427911895252,34.0953996178787,33.1465857627917,32.2467979491674,31.3442898039613,30.4390531027857,29.5310795963879,28.6203610105754,27.7493093098684,26.8743331081616,25.9954147237167,25.112536395131,24.2256802809782,23.4188670009442,22.605619820628,21.7858874331489,20.9596181224811,20.126759760192,19.3661263721659,18.5964468068507,17.8176134784833,17.0295175217879,16.2320487767594,15.5450626116465,14.8448288166741,14.1310919286235,13.4035915580021,12.662062294046,12.1731774051385,11.6645582542676,11.1354082508576,10.584898649264,10.0121672508064,9.56697034826148,9.09710379984247,8.60120058923802,8.07781794981569,7.52543316707795,7.2343550349204,6.91585633459675,6.56735395361767,6.18602144135099
"9",72.8833124654539,71.8833124654539,70.8833124654539,69.8833124654539,68.8833124654539,67.8833124654539,66.8833124654539,65.8833124654539,64.8833124654539,63.8833124654539,62.8833124654539,61.8833124654539,60.8833124654539,59.8833124654539,58.8833124654539,57.9136904865975,56.9435682777821,55.9729455809382,55.0018221378629,54.0301976902202,53.0580316456534,52.0853647843672,51.1121968483631,50.1385275795095,49.1643567195423,48.2146921210726,47.2640552379627,46.3124450747692,45.3598606350294,44.4063009212605,43.4956615639771,42.5831896893131,41.6688816096176,40.7527336298191,39.83474204741,38.9340379937575,38.0310887577142,37.1258887427205,36.2184323382661,35.3087139198556,34.448461971513,33.5848052394678,32.7177302479562,31.8472234678787,30.9732713165892,30.1405968085082,29.3034239808842,28.4617285326507,27.6154860314603,26.7646719129761,25.9857073571562,25.20030973998,24.4084259341543,23.6100023736352,22.8049850500049,22.0682134837246,21.3229376704571,20.5690594492256,19.8064795260217,19.0350974607277,18.3997344038795,17.7522003117467,17.0922620355834,16.4196819604387,15.7342179196021,15.0891711604715,14.429572585748,13.7550939163818,13.0653994675717,12.3601459816956,11.8732969328247,11.3662355779783,10.8381227714011,10.2880845288783,9.71521058136259,9.26214820324847,8.78357975323025,8.27806931489686,7.74410013399015,7.18007006747322,6.89051842662091,6.57231644027073,6.22262923484113,5.83834143373797
"10",82.4184070462557,81.4184070462557,80.4184070462557,79.4184070462557,78.4184070462557,77.4184070462557,76.4184070462557,75.4184070462557,74.4184070462557,73.4184070462557,72.4184070462557,71.4184070462557,70.4184070462557,69.4184070462557,68.4184070462557,67.4184070462557,66.4184070462557,65.4184070462557,64.4184070462557,63.4184070462557,62.4184070462557,61.4184070462557,60.4184070462557,59.4184070462557,58.4184070462557,57.4184070462557,56.4184070462557,55.4184070462557,54.4184070462557,53.4184070462557,52.4455610994622,51.4722206281769,50.4983853810192,49.5240551064809,48.5492295529259,47.5739213025293,46.598117018162,45.6218164475453,44.6450193382718,43.667725437806,42.7114368746807,41.7541910657464,40.7959870527992,39.8368238766759,38.8767005772532,37.9353348644939,36.9925493731324,36.0483419618425,35.1027104860679,34.1556527980184,33.2415343917615,32.3251175095814,31.4063963721484,30.4853651856012,29.5620181415105,28.6810629470673,27.796560189013,26.908495581482,26.0168547810802,25.1216233866533,24.2731131619333,23.4194862048555,22.5607116602229,21.696758486774,20.8275954560605,20.0256739354748,19.2161258314103,18.3988786121116,17.5738590560185,16.7409932452052,16.00063940099,15.2488029627162,14.4853058399109,13.7099671799886,12.922603325412,12.2670004145741,11.5939251935172,10.9029120120445,10.1934828100318,9.46514678669316,8.9562012633946,8.42085150324213,7.85772764700343,7.26538876676403
"11",79.5704636305307,78.5704636305307,77.5704636305307,76.5704636305307,75.5704636305307,74.5704636305307,73.5704636305307,72.5704636305307,71.5704636305307,70.5704636305307,69.5704636305307,68.5704636305307,67.5704636305307,66.5704636305307,65.5704636305307,64.5704636305307,63.5704636305307,62.5704636305307,61.5704636305307,60.5704636305307,59.5704636305307,58.5704636305307,57.5704636305307,56.5704636305307,55.5704636305307,54.5704636305307,53.5704636305307,52.5704636305307,51.5704636305307,50.5704636305307,49.5964449840424,48.621925920493,47.6469061827858,46.6713855136916,45.6953636558492,44.7175129942637,43.7391883514361,42.7603894976195,41.7811162029555,40.8013682374744,39.861135165559,38.9195248152626,37.9765351691111,37.0321642066753,36.0864099045665,35.1394043577201,34.1910080922841,33.2412190659281,32.2900352333223,31.3374545461337,30.4153719738342,29.4909967359943,28.5643231321318,27.6353454475909,26.7040579535068,25.82396118666,24.9399127189886,24.0518948070582,23.1598896277648,22.2638792779773,21.4326515925935,20.5951227492362,19.7512449817005,18.9009701616879,18.0442497960612,17.282907535787,16.5114955732503,15.7298807240624,14.9379280423044,14.1355007972294,13.4162240228064,12.6826628095726,11.9345334764758,11.1715467087152,10.3934074458579,9.79716606921207,9.17776216394648,8.53429592210907,7.86583258039537,7.17140106221799,6.86001611105926,6.51873123358345,6.14467536749148,5.73470176422884
