"","DisplayString","age","All","Female","Male","perc_fmle","ISO_Code"
"1","Albania",1,35333.62538617,16891.1635791018,18442.4618070683,0.478047848034105,"ALB"
"2","Albania",2,34658.5094039306,16567.3379706485,18091.1714332821,0.478016459899156,"ALB"
"3","Albania",3,34198.7712361471,16332.2205262741,17866.5507098731,0.477567466196312,"ALB"
"4","Albania",4,33538.7684043189,15986.3911442513,17552.3772600676,0.476654090321119,"ALB"
"5","Albania",5,32640.7990410699,15515.376863126,17125.4221779439,0.475336919405801,"ALB"
"6","Albania",6,31835.9576326397,15091.5340649277,16744.423567712,0.474040524838969,"ALB"
"7","Albania",7,31126.944289345,14728.263470528,16398.6808188171,0.473167662511916,"ALB"
"8","Albania",8,30708.6850918754,14518.548374027,16190.1367178484,0.472783133846007,"ALB"
"9","Albania",9,30753.7279279014,14536.8221996776,16216.9057282238,0.472684880147133,"ALB"
"10","Albania",10,31475.9034423423,14892.4413715725,16583.4620707698,0.47313785286108,"ALB"
"11","Albania",11,32724.5969317933,15491.7659817923,17232.830950001,0.473398221346507,"ALB"
"12","Albania",12,34407.0186436267,16311.6863073395,18095.3323362872,0.474080200795338,"ALB"
"13","Albania",13,36440.976081871,17309.2153976021,19131.7606842689,0.47499318785298,"ALB"
"14","Albania",14,38173.1669068372,18194.4937328651,19978.6731739721,0.476630450317872,"ALB"
"15","Albania",15,39397.9879455502,18867.357093087,20530.6308524633,0.478891387021148,"ALB"
"16","Albania",16,40414.0670680579,19433.6681225218,20980.3989455361,0.480863954864904,"ALB"
"17","Albania",17,41676.7768918359,20086.7266201919,21590.0502716441,0.4819644924156,"ALB"
"18","Albania",18,46302.7372084803,22344.8382891949,23957.8989192854,0.482581368539536,"ALB"
"19","Albania",19,47244.5244370949,22819.1895387432,24425.3348983517,0.483001782971199,"ALB"
"20","Albania",20,46437.7829014547,22474.2233224413,23963.5595790135,0.483964175682842,"ALB"
"21","Albania",21,48205.0803584716,23319.8627947456,24885.217563726,0.483763591333737,"ALB"
"22","Albania",22,47276.4710849539,22761.9898746846,24514.4812102693,0.481465501809182,"ALB"
"23","Albania",23,46570.010969528,22273.6000273265,24296.4109422015,0.478282043822165,"ALB"
"24","Albania",24,45761.5419244739,21704.9124801842,24056.6294442897,0.474304657740917,"ALB"
"25","Albania",25,44873.6237006216,21072.2600004531,23801.3637001685,0.469591226709003,"ALB"
"26","Albania",26,44059.7036020314,20449.1917407914,23610.5118612399,0.464124587071634,"ALB"
"27","Albania",27,42977.1386493154,19791.428026129,23185.7106231864,0.460510602802643,"ALB"
"28","Albania",28,41332.6317133252,18956.7610147401,22375.8706985852,0.458639100123611,"ALB"
"29","Albania",29,39644.7252105472,18206.6364754036,21438.0887351436,0.459244864952674,"ALB"
"30","Albania",30,38337.6300341319,17714.5301716866,20623.0998624453,0.462066386365443,"ALB"
"31","Albania",31,37224.3393423481,17428.5966625128,19795.7426798353,0.468204324655004,"ALB"
"32","Albania",32,36141.3819169055,17160.4763704077,18980.9055464978,0.474815169211355,"ALB"
"33","Albania",33,34527.1911506639,16706.7173121584,17820.4738385055,0.483871312880809,"ALB"
"34","Albania",34,32764.6728732255,16247.2365789216,16517.4362943039,0.495876660871485,"ALB"
"35","Albania",35,32059.0653273423,16139.635927105,15919.4294002373,0.503434387818535,"ALB"
"36","Albania",36,30827.5735855405,15683.9812720523,15143.5923134882,0.508764701462226,"ALB"
"37","Albania",37,29990.2707841007,15170.351615221,14819.9191688796,0.505842435516239,"ALB"
"38","Albania",38,30692.2242164873,15656.9429067231,15035.2813097641,0.510127346792693,"ALB"
"39","Albania",39,31493.3675062821,16490.7067656347,15002.6607406474,0.523624752492576,"ALB"
"40","Albania",40,31529.7082583297,16686.1349808573,14843.5732774724,0.529219453733736,"ALB"
"41","Albania",41,31170.0874628966,16592.1614696475,14577.9259932492,0.532310391794634,"ALB"
"42","Albania",42,31801.5930113678,16989.3986030042,14812.1944083636,0.534231055561624,"ALB"
"43","Albania",43,32825.3672232201,17502.4758627595,15322.8913604605,0.533199697165263,"ALB"
"44","Albania",44,33698.5678039077,17887.6710482554,15810.8967556523,0.530813984509488,"ALB"
"45","Albania",45,34584.2840038948,18299.7205728726,16284.5634310222,0.529134001178447,"ALB"
"46","Albania",46,35514.6715665969,18758.2685880774,16756.4029785195,0.52818364243921,"ALB"
"47","Albania",47,36181.7345433375,19036.6298126415,17145.104730696,0.526139226129138,"ALB"
"48","Albania",48,36492.806716238,19128.2910438737,17364.5156723643,0.524166069017714,"ALB"
"49","Albania",49,36628.2162943522,19172.916527558,17455.2997667943,0.523446633968751,"ALB"
"50","Albania",50,36601.1999034088,19049.2833502742,17551.9165531345,0.520455159955018,"ALB"
"51","Albania",51,36622.5384707465,18853.6615182357,17768.8769525108,0.514810340995224,"ALB"
"52","Albania",52,37390.41664711,19141.9037710446,18248.5128760653,0.511946789780534,"ALB"
"53","Albania",53,38509.4785553721,19676.4399795561,18833.038575816,0.510950568994688,"ALB"
"54","Albania",54,39409.7344577961,20121.6536099771,19288.080847819,0.510575721628508,"ALB"
"55","Albania",55,39931.248068865,20313.7467309754,19617.5013378896,0.508718051986317,"ALB"
"56","Albania",56,40015.2322744866,20276.5075799758,19738.7246945108,0.506719727150102,"ALB"
"57","Albania",57,39633.2533702782,20012.6670166572,19620.586353621,0.504946359807674,"ALB"
"58","Albania",58,38803.6730592212,19553.7514017807,19249.9216574405,0.503914961141391,"ALB"
"59","Albania",59,37585.7840188834,18950.9790907437,18634.8049281397,0.504206033888307,"ALB"
"60","Albania",60,36076.6727798772,18155.8618072799,17920.8109725973,0.503257656770578,"ALB"
"61","Albania",61,34405.7160121236,17340.435934353,17065.2800777706,0.503998693945004,"ALB"
"62","Albania",62,32691.8466108809,16486.2382921733,16205.6083187076,0.504292048363097,"ALB"
"63","Albania",63,30868.4489552126,15515.0806880609,15353.3682671517,0.502619380409165,"ALB"
"64","Albania",64,29028.5736817202,14550.6522996559,14477.9213820643,0.50125274700695,"ALB"
"65","Albania",65,27554.7123941867,13811.651924109,13743.0604700776,0.501244641080808,"ALB"
"66","Albania",66,26927.2973450425,13507.4181806562,13419.8791643864,0.501625469781616,"ALB"
"67","Albania",67,24078.6785963817,12155.9274116618,11922.7511847199,0.504841964769963,"ALB"
"68","Albania",68,24006.3652055968,12112.6377908046,11893.7274147922,0.5045594235974,"ALB"
"69","Albania",69,23198.8424189793,11719.1270784525,11479.7153405268,0.505159993192803,"ALB"
"70","Albania",70,21888.1732284576,11075.5407227195,10812.6325057381,0.506005714004483,"ALB"
"71","Albania",71,20251.0616169093,10289.891675276,9961.16994163329,0.508116160521881,"ALB"
"72","Albania",72,19186.5244496366,9784.63954525053,9401.88490438605,0.509974569439847,"ALB"
"73","Albania",73,18213.4601647697,9339.75901125771,8873.70115351197,0.512794325008249,"ALB"
"74","Albania",74,17477.4939891583,9040.42652108415,8437.06746807415,0.517261028766031,"ALB"
"75","Albania",75,16897.5693046002,8836.03022799086,8061.5390766093,0.522917235533121,"ALB"
"76","Albania",76,16411.9623011749,8694.07412716249,7717.88817401244,0.529740074198202,"ALB"
"77","Albania",77,15715.692664209,8389.27452876444,7326.4181354446,0.533815130393216,"ALB"
"78","Albania",78,14832.6850433754,7975.42440908361,6857.26063429176,0.537692561108186,"ALB"
"79","Albania",79,13728.2046222161,7424.11220632467,6304.09241589143,0.540792653564499,"ALB"
"80","Albania",80,12423.0936198139,6750.7980676034,5672.29555221055,0.543407163642105,"ALB"
"81","Albania",81,10990.2291833884,5955.45498209433,5034.77420129406,0.541886332188225,"ALB"
"82","Albania",82,9498.4757852863,5206.31837301954,4292.15741226677,0.548121455558631,"ALB"
"83","Albania",83,8197.29299813996,4568.79553263764,3628.49746550232,0.5573541818835,"ALB"
"84","Albania",84,7029.65557029267,4005.52654936326,3024.12902092942,0.569804097698701,"ALB"
"85","Albania",85,5974.90833054272,3498.0319799531,2476.87635058962,0.585453664966164,"ALB"
"86","Albania",86,5025.52631129106,3045.91438539272,1979.61192589834,0.60608863564187,"ALB"
"87","Albania",87,4193.78358828659,2611.49593096496,1582.28765732163,0.62270641199965,"ALB"
"88","Albania",88,3426.79644886937,2206.37267746271,1220.42377140667,0.643858691458221,"ALB"
"89","Albania",89,2736.86484312743,1828.22269852498,908.642144602451,0.667998897759182,"ALB"
"90","Albania",90,2129.40113288723,1480.60628148217,648.794851405059,0.695315813735214,"ALB"
"91","Albania",91,1608.84126495879,1164.93485153773,443.906413421057,0.72408315034583,"ALB"
