"","age","DisplayString","dlyr_m","dlyr_f","ISO_Code"
"1",1,"Albania",74.2629972378977,81.4479892372792,"ALB"
"2",2,"Albania",73.3562237328019,80.4806629831354,"ALB"
"3",3,"Albania",72.4084905780934,79.4985336576074,"ALB"
"4",4,"Albania",71.4477572625297,78.511971180737,"ALB"
"5",5,"Albania",70.4795656692526,77.5231999983367,"ALB"
"6",6,"Albania",69.5112252093716,76.5465415073304,"ALB"
"7",7,"Albania",68.539527797185,75.5666785437875,"ALB"
"8",8,"Albania",67.5655141270392,74.5839116756495,"ALB"
"9",9,"Albania",66.5891027238898,73.5994283567477,"ALB"
"10",10,"Albania",65.6106845856956,72.6133412782493,"ALB"
"11",11,"Albania",64.629651554995,71.6245254551694,"ALB"
"12",12,"Albania",63.6482055899993,70.6354856844791,"ALB"
"13",13,"Albania",62.6675605283999,69.647071804255,"ALB"
"14",14,"Albania",61.6891255876021,68.6595408620693,"ALB"
"15",15,"Albania",60.715539838653,67.6743058378245,"ALB"
"16",16,"Albania",59.7431172138681,66.6885204271142,"ALB"
"17",17,"Albania",58.7740203824058,65.7033952842626,"ALB"
"18",18,"Albania",57.8088940565814,64.7189049458298,"ALB"
"19",19,"Albania",56.8484045168664,63.7350887180093,"ALB"
"20",20,"Albania",55.8930655733415,62.7519192246846,"ALB"
"21",21,"Albania",54.9432466656005,61.7694318961836,"ALB"
"22",22,"Albania",53.9979145927057,60.7875974498339,"ALB"
"23",23,"Albania",53.0558880731551,59.8063866233005,"ALB"
"24",24,"Albania",52.1160095000321,58.8258300180563,"ALB"
"25",25,"Albania",51.1771725730886,57.8459553347808,"ALB"
"26",26,"Albania",50.2385081416446,56.866729490668,"ALB"
"27",27,"Albania",49.2998045397527,55.8880056047642,"ALB"
"28",28,"Albania",48.3610406621331,54.9095867052324,"ALB"
"29",29,"Albania",47.4221945527218,53.9312845626346,"ALB"
"30",30,"Albania",46.4832431411462,52.9529196834277,"ALB"
"31",31,"Albania",45.544112507513,51.9744802969085,"ALB"
"32",32,"Albania",44.6043691956964,50.9962667326695,"ALB"
"33",33,"Albania",43.6635534062777,50.0187660084793,"ALB"
"34",34,"Albania",42.7212298405861,49.0424360807454,"ALB"
"35",35,"Albania",41.7769881046089,48.0676568563696,"ALB"
"36",36,"Albania",40.8307601245031,47.0947341917196,"ALB"
"37",37,"Albania",39.8835160500801,46.1235738188967,"ALB"
"38",38,"Albania",38.9364705320385,45.154035482315,"ALB"
"39",39,"Albania",37.9907591595913,44.1859819715689,"ALB"
"40",40,"Albania",37.0474387334521,43.2192790887228,"ALB"
"41",41,"Albania",36.1073372116424,42.2539254830347,"ALB"
"42",42,"Albania",35.1702785601761,41.2904221173219,"ALB"
"43",43,"Albania",34.2359417594873,40.3293543691376,"ALB"
"44",44,"Albania",33.3040143024288,39.371230598842,"ALB"
"45",45,"Albania",32.3741918175248,38.4165700998479,"ALB"
"46",46,"Albania",31.4465053114659,37.4657005697634,"ALB"
"47",47,"Albania",30.5219053623517,36.5183092682757,"ALB"
"48",48,"Albania",29.6015661966152,35.5739694368111,"ALB"
"49",49,"Albania",28.6865530090022,34.6322703161214,"ALB"
"50",50,"Albania",27.7778253353924,33.6928164622611,"ALB"
"51",51,"Albania",26.8760776094193,32.7554242002749,"ALB"
"52",52,"Albania",25.9810385711428,31.8205786283505,"ALB"
"53",53,"Albania",25.0922700750262,30.8889014926878,"ALB"
"54",54,"Albania",24.2093323323192,29.9609510624758,"ALB"
"55",55,"Albania",23.3317824166395,29.0372232016394,"ALB"
"56",56,"Albania",22.4596770453343,28.1181541410227,"ALB"
"57",57,"Albania",21.5950774368073,27.204118008178,"ALB"
"58",58,"Albania",20.7403023521555,26.2954319003988,"ALB"
"59",59,"Albania",19.8974310768064,25.392355715375,"ALB"
"60",60,"Albania",19.0683258354336,24.4950934208083,"ALB"
"61",61,"Albania",18.2542820549059,23.6039260829888,"ALB"
"62",62,"Albania",17.4550264948737,22.719573996995,"ALB"
"63",63,"Albania",16.6699201118095,21.842775409714,"ALB"
"64",64,"Albania",15.8983368061334,20.9741564077966,"ALB"
"65",65,"Albania",15.1396604141135,20.1142360195894,"ALB"
"66",66,"Albania",14.3936869436963,19.2636032744182,"ALB"
"67",67,"Albania",13.661846157202,18.4233853840181,"ALB"
"68",68,"Albania",12.9458537192192,17.5947106326118,"ALB"
"69",69,"Albania",12.2473543909781,16.7785478936947,"ALB"
"70",70,"Albania",11.5679818955472,15.9757227639518,"ALB"
"71",71,"Albania",10.9090308636104,15.1870868811206,"ALB"
"72",72,"Albania",10.2703922674918,14.413909401743,"ALB"
"73",73,"Albania",9.65180971327026,13.6574674224457,"ALB"
"74",74,"Albania",9.05331207476671,12.9189306087934,"ALB"
"75",75,"Albania",8.47527640666356,12.1994059338297,"ALB"
"76",76,"Albania",7.91816140760818,11.4996219026869,"ALB"
"77",77,"Albania",7.38150477938811,10.8188544685481,"ALB"
"78",78,"Albania",6.86502471260033,10.1561748815962,"ALB"
"79",79,"Albania",6.36905841128691,9.51081197965768,"ALB"
"80",80,"Albania",5.89474804879273,8.8821590176695,"ALB"
"81",81,"Albania",5.44360433658911,8.2704230327232,"ALB"
"82",82,"Albania",5.01541132056512,7.67844103129301,"ALB"
"83",83,"Albania",4.61022000731701,7.11013149826373,"ALB"
"84",84,"Albania",4.22922687276414,6.57029755381957,"ALB"
"85",85,"Albania",3.87524695321582,6.06529252006395,"ALB"
"86",86,"Albania",3.55250142574474,5.60110606157751,"ALB"
"87",87,"Albania",3.2635732428869,5.17480336854062,"ALB"
"88",88,"Albania",3.0109273260944,4.78179416495744,"ALB"
"89",89,"Albania",2.79584401941774,4.41768745568723,"ALB"
"90",90,"Albania",2.612622091221,4.07720393456808,"ALB"
"91",91,"Albania",2.44357366558783,3.7545497150595,"ALB"
